T,TM,Tm,SLP,H,VV,V,VM,PM2.5
29.3,34.1,26.5,1004.7,83.0,4.5,1.9,3.5,73.0
29.0,34.0,25.8,1007.0,79.0,4.5,0.6,3.5,93.0
28.9,32.3,27.2,1008.5,84.0,5.0,0.7,3.5,176.0
28.1,33.0,26.4,1004.8,84.0,4.5,0.7,3.5,198.0
28.8,33.5,26.6,1004.3,79.0,4.7,0.6,3.5,205.0
29.6,32.9,24.5,1007.9,62.0,4.7,0.6,3.5,155.0
29.3,34.4,25.6,1008.0,60.0,4.5,1.5,5.4,157.0
29.8,34.7,25.9,1006.5,70.0,4.3,1.5,3.5,165.0
28.8,35.8,25.5,1006.0,62.0,4.8,1.5,3.5,160.0
29.3,33.2,22.8,1005.9,51.0,4.7,2.8,9.4,146.0
25.2,30.2,24.2,1011.9,89.0,4.0,2.2,9.4,133.16722408026754
28.4,34.0,25.6,1011.1,76.0,4.7,0.7,3.5,133.16722408026754
30.1,34.1,25.2,1011.1,65.0,4.7,1.1,3.5,133.16722408026754
23.6,27.4,21.6,1008.9,84.0,4.3,1.5,3.5,133.16722408026754
24.6,30.6,20.2,1012.9,60.0,4.0,1.5,3.5,133.16722408026754
23.8,29.8,19.0,1012.2,62.0,4.0,1.9,5.4,133.16722408026754
24.7,29.7,20.0,1012.8,63.0,4.3,1.9,3.5,133.16722408026754
22.2,28.5,17.7,1011.2,73.0,3.4,0.7,3.5,133.16722408026754
22.7,29.2,18.3,1010.5,69.0,4.2,0.6,3.5,133.16722408026754
23.0,29.2,18.6,1014.7,73.0,4.2,0.7,3.5,133.16722408026754
24.3,29.6,18.8,1014.2,69.0,4.2,0.6,3.5,133.16722408026754
22.9,29.6,18.8,1014.9,75.0,3.9,0.6,3.5,133.16722408026754
24.3,29.5,19.0,1015.8,63.0,4.0,0.9,3.5,133.16722408026754
20.8,31.0,15.5,1011.6,68.0,4.2,0.6,3.5,133.16722408026754
21.4,27.4,17.0,1010.9,70.0,3.5,1.9,3.5,133.16722408026754
19.3,23.4,17.0,1013.1,73.0,3.2,1.5,3.5,133.16722408026754
20.7,26.3,15.8,1013.1,68.0,3.4,2.4,3.5,133.16722408026754
21.2,26.8,18.2,1013.1,67.0,3.9,0.7,3.5,133.16722408026754
22.9,27.5,18.5,1012.3,74.0,2.6,0.9,3.5,133.16722408026754
21.3,26.5,18.3,1013.6,70.0,2.9,1.5,3.5,133.16722408026754
22.5,27.2,15.9,1013.5,66.0,3.2,2.2,5.4,147.0
23.6,27.2,16.7,1012.5,53.0,2.9,3.1,5.4,115.0
